time_s,target_kPa,actual_kPa
0.000,30.00,28.46
0.020,30.00,28.46
0.040,30.00,28.46
0.060,30.00,26.83
0.080,30.00,26.83
0.100,30.00,26.83
0.120,30.00,25.31
0.140,30.00,25.31
0.160,30.00,24.01
0.180,30.00,24.01
0.200,30.00,24.01
0.220,30.00,22.70
0.240,30.00,22.70
0.260,30.00,22.70
0.280,30.00,21.62
0.300,30.00,21.62
0.320,30.00,20.75
0.340,30.00,20.75
0.360,30.00,20.75
0.380,30.00,19.66
0.400,30.00,19.66
0.420,30.00,18.79
0.440,30.00,18.79
0.460,30.00,18.79
0.480,30.00,18.03
0.500,30.00,18.03
0.520,30.00,17.16
0.540,30.00,17.16
0.560,30.00,17.16
0.580,30.00,16.40
0.600,30.00,16.40
0.620,30.00,15.64
0.640,30.00,15.64
0.660,30.00,14.99
0.680,30.00,14.99
0.700,30.00,14.99
0.720,30.00,14.23
0.740,30.00,14.23
0.760,30.00,13.58
0.780,30.00,13.58
0.800,30.00,13.58
0.820,30.00,12.71
0.840,30.00,12.71
0.860,30.00,12.17
0.880,30.00,12.17
0.900,30.00,11.52
0.920,30.00,11.52
0.940,30.00,11.52
0.960,30.00,10.97
0.980,30.00,10.97
1.000,30.00,10.43
1.020,30.00,10.43
1.040,30.00,9.89
1.060,30.00,9.89
1.080,30.00,9.89
1.100,30.00,9.34
1.120,30.00,9.34
1.140,30.00,8.80
1.160,30.00,8.80
1.180,30.00,8.26
1.200,30.00,8.26
1.220,30.00,7.82
1.240,30.00,7.82
1.260,30.00,7.82
1.280,30.00,7.50
1.300,30.00,7.50
1.320,30.00,7.06
1.340,30.00,7.06
1.360,30.00,6.63
1.380,30.00,6.63
1.400,30.00,6.19
1.420,30.00,6.19
1.440,30.00,6.19
1.460,30.00,5.98
1.480,30.00,5.98
1.500,30.00,5.54
1.520,30.00,5.54
1.540,30.00,5.22
1.560,30.00,5.22
1.580,30.00,4.89
1.600,30.00,4.89
1.620,30.00,4.67
1.640,30.00,4.67
1.660,30.00,4.67
1.680,30.00,4.35
1.700,30.00,4.35
1.720,30.00,4.02
1.740,30.00,4.02
1.760,30.00,3.80
1.780,30.00,3.80
1.800,30.00,3.59
1.820,30.00,3.59
1.840,30.00,3.26
1.860,30.00,3.26
1.880,30.00,2.93
1.900,30.00,2.93
1.920,30.00,2.93
1.940,30.00,2.83
1.960,30.00,2.83
1.980,30.00,2.61
2.000,30.00,2.61
2.020,30.00,2.39
2.040,30.00,2.39
2.060,30.00,2.28
2.080,30.00,2.28
2.100,30.00,2.07
2.120,30.00,2.07
